사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2021051900100413,2021년 5월 19일 18시,수요일,서울특별시 동대문구 이문동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,36세,상해없음,보행자,남,76세,중상
2021052000100038,2021년 5월 20일 07시,목요일,서울특별시 동대문구 전농동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,젖음/습기,비,교차로 - 교차로부근,승용,여,41세,상해없음,보행자,남,69세,중상
2021052200100089,2021년 5월 22일 09시,토요일,서울특별시 동대문구 제기동,중상사고,0,1,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,원동기,남,77세,상해없음,보행자,남,58세,경상
2021052200100263,2021년 5월 22일 14시,토요일,서울특별시 동대문구 장안동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,단일로 - 기타,승용,남,56세,상해없음,보행자,남,85세,중상
2021053000100027,2021년 5월 30일 05시,일요일,서울특별시 동대문구 장안동,사망사고,1,0,0,0,차대사람 - 횡단중,기타,건조,맑음,교차로 - 교차로횡단보도내,승용,남,68세,상해없음,보행자,남,81세,사망
2021053000100340,2021년 5월 30일 18시,일요일,서울특별시 동대문구 전농동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,기타불명,기타불명,미분류,기타불명,보행자,남,78세,경상
2021060100100207,2021년 6월 1일 12시,화요일,서울특별시 동대문구 용두동,중상사고,0,1,0,0,차대사람 - 보도통행중,안전운전불이행,건조,맑음,기타 - 기타,승용,남,25세,상해없음,보행자,여,82세,중상
2021060200100212,2021년 6월 2일 12시,수요일,서울특별시 동대문구 장안동,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,여,48세,상해없음,보행자,여,87세,경상
2021061100100208,2021년 6월 11일 12시,금요일,서울특별시 동대문구 답십리동,경상사고,0,0,1,0,차대사람 - 보도통행중,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,여,41세,상해없음,보행자,여,77세,경상
2021061600100632,2021년 6월 16일 23시,수요일,서울특별시 동대문구 휘경동,경상사고,0,0,1,0,차대사람 - 보도통행중,신호위반,건조,흐림,교차로 - 교차로부근,이륜,남,46세,상해없음,보행자,여,75세,경상
2021061800100309,2021년 6월 18일 16시,금요일,서울특별시 동대문구 장안동,경상사고,0,0,1,0,차대사람 - 길가장자리구역통행중,안전운전불이행,기타,기타,단일로 - 기타,화물,남,37세,상해없음,보행자,여,70세,경상
2021062500100385,2021년 6월 25일 16시,금요일,서울특별시 동대문구 답십리동,중상사고,0,1,0,0,차대사람 - 차도통행중,안전운전불이행,건조,맑음,단일로 - 기타,이륜,남,74세,상해없음,보행자,여,88세,중상
2021070200100247,2021년 7월 2일 13시,금요일,서울특별시 동대문구 답십리동,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,건조,맑음,교차로 - 교차로안,승합,남,66세,상해없음,보행자,여,76세,경상
2021070600100373,2021년 7월 6일 17시,화요일,서울특별시 동대문구 장안동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,29세,상해없음,보행자,여,82세,중상
2021071400100529,2021년 7월 14일 20시,수요일,서울특별시 동대문구 장안동,경상사고,0,0,2,0,차대사람 - 기타,기타,건조,기타,단일로 - 기타,자전거,남,22세,경상,보행자,남,67세,경상
2021071700100079,2021년 7월 17일 08시,토요일,서울특별시 동대문구 용두동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,단일로 - 기타,승용,남,58세,상해없음,보행자,여,74세,경상
2021071900100077,2021년 7월 19일 08시,월요일,서울특별시 동대문구 제기동,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,58세,상해없음,보행자,여,75세,경상
2021072200100253,2021년 7월 22일 13시,목요일,서울특별시 동대문구 제기동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,59세,상해없음,보행자,여,73세,중상
